id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
52581185,Monkey Jackson height cozy,24942342088,verified,Cha,Queens,Elmhurst,40.74253,-73.88962,United States,US,True,moderate,Private room,2014.0,$550 ,$110 ,3.0,31.0,7/5/2019,2.21,5.0,2.0,41.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.  Parties, pets and smoking are not allowed under any circumstances and incur significant fees. ",
26782700,Beautiful apartment in the heart of West Village!,67461697050,verified,Ibrahim Ali,Manhattan,West Village,40.73168,-74.00195,United States,US,False,strict,Entire home/apt,2003.0,$404 ,$81 ,3.0,2.0,6/28/2019,2.0,3.0,1.0,195.0,,
54750067,Low price private room train nearby,29845983734,verified,Shamyra,Queens,Ridgewood,40.70665,-73.90969,United States,US,True,flexible,Private room,2015.0,$101 ,$20 ,7.0,4.0,1/2/2019,0.36,4.0,2.0,0.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions, and the year-round tenants must be respected. There is no smoking allowed in the apartments and significant fees will take place if occurs.",
45632147,Big private room in huge artsy Williamsburg loft,70744550555,verified,Chris,Brooklyn,Williamsburg,40.7116,-73.94432,United States,US,True,moderate,Private room,2010.0,$822 ,$164 ,2.0,13.0,6/10/2019,0.58,3.0,2.0,7.0,NO Smoking,
47663506,1 Bedroom in Modern Williamsburg Duplex,27249954144,verified,Matthew,Brooklyn,Williamsburg,40.71308,-73.94077,United States,US,True,moderate,Private room,2017.0,$192 ,$38 ,1.0,0.0,,,2.0,1.0,10.0,"Since I live in the apartment, I expect guests to respect the space and be quiet when coming in late.   No entertaining or overnight guests, please.",
41720206,Bed Stuy Brownstone 50 steps to the Train :),68898429128,verified,Felisha,Brooklyn,Crown Heights,40.67825,-73.94748,United States,US,True,flexible,Private room,2007.0,"$1,055 ",$211 ,1.0,45.0,7/2/2019,2.83,2.0,1.0,28.0,,
32413399,crème de la crème  - Luxurious 1 BR Grand Central,11623360084,verified,Stay With Vibe,Manhattan,Murray Hill,40.75057,-73.97861,United States,US,False,flexible,Entire home/apt,2006.0,$195 ,$39 ,30.0,13.0,1/19/2022,0.38,5.0,108.0,250.0,,
2997901,"Brooklyn NY, Comfy,Spacious Repose!",56267937797,verified,Benjamin,Brooklyn,Bushwick,40.68926,-73.91595,United States,US,False,strict,Private room,2007.0,$767 ,$153 ,3.0,40.0,5/19/2019,0.63,2.0,1.0,302.0,"LAUNDRY - Laundry can be done by the visitor before 10 pm, preferably on weekends. - Please provide your own detergent and fabric conditioner. Keep the machine clean and remember to clean the filter before and after use. - Please ask hosts to teach you how to operate the machines if you are not familiar with it. - Please limit your load and washes as not to overload the machine. - One wash per week will be ideal. HOUSEKEEPING - The bedrooms shall be kept clean and tidy by the visitor. - Please be respectful of others and keep the bathroom clean – do not leave dirty clothes and trash lying around. - Each visitor is responsible for cleaning their own dirty dishes and throwing their own trash in the garbage bin outside. - Please provide your own toiletries such as bath soap, shampoo and toothpaste.  KITCHEN USE  - We are sharing our kitchen and kitchenware stuff. Please make sure to take care of them and make sure you clean, dry and put them back where you found them. If you are cooking, ",
20514095,Central Park master room with private bathroom.,19222998869,unconfirmed,Judy,Manhattan,East Harlem,40.78807,-73.93988,United States,US,True,flexible,Private room,2006.0,$915 ,$183 ,1.0,20.0,6/2/2019,2.03,5.0,1.0,0.0,,
22830441,MANHATTAN NEWLY RENOVATED SPACIOUS MODERN FLAT!,76850056414,unconfirmed,Emmanuel,Manhattan,East Harlem,40.7942,-73.94091,United States,US,False,moderate,Entire home/apt,2021.0,"$1,109 ",$222 ,1.0,27.0,6/25/2019,4.09,4.0,1.0,95.0,,
19192993,BEAUTIFUL STUDIO ON UPPER EAST SIDE/ CENTRAL PARK,54057630791,verified,Inna,Manhattan,Upper East Side,40.77045,-73.9568,United States,US,False,strict,Entire home/apt,2008.0,$706 ,$141 ,30.0,6.0,7/1/2019,0.59,5.0,16.0,339.0,"No smoking, no loud music after 11pm.",
42101293,Smaller room in a Gorgeous HUGE apt in Nolita,25983940703,verified,Milena,Manhattan,Lower East Side,40.71933,-73.99431,United States,US,False,flexible,Private room,2022.0,$62 ,$12 ,30.0,0.0,,,3.0,4.0,339.0,,
39831340,West Village 1 BR Apartment,45856056523,verified,Betsy,Manhattan,West Village,40.73359,-74.00524,United States,US,False,strict,Entire home/apt,2012.0,$637 ,$127 ,3.0,10.0,1/1/2019,0.3,1.0,1.0,5.0,,
39948980,Plum Guide Award-Winning Prospect Heights Oasis,95115538960,verified,Jenny,Brooklyn,Prospect Heights,40.67678,-73.96692,United States,US,False,flexible,Entire home/apt,2014.0,$121 ,$24 ,3.0,173.0,6/10/2019,2.36,4.0,1.0,265.0,,
52094057,"Central  Brooklyn Beautiful Rooms
Room Florence
#1",94464798305,verified,Keisha,Brooklyn,Canarsie,40.63905,-73.89243,United States,US,True,moderate,Private room,2019.0,$331 ,$66 ,2.0,20.0,6/24/2019,1.4,3.0,3.0,177.0,,
46703056,Beautiful space in Clinton Hill,70548193973,verified,Christian,Brooklyn,Clinton Hill,40.68448,-73.96385,United States,US,False,moderate,Private room,2009.0,"$1,013 ",$203 ,3.0,2.0,1/2/2019,0.09,2.0,1.0,0.0,Treat our apartment as if it were your own =). 1. No pets please.  2. Smoking outside or on the deck only.  3. Please treat the common amenities with respect.  4. We expect you to clean up after yourself.,
45701184,Design-Infused Two Bed Beauty in Fort Greene,79784457656,verified,Marlene,Brooklyn,Fort Greene,40.69135,-73.97044,United States,US,True,flexible,Entire home/apt,2017.0,$942 ,$188 ,3.0,15.0,12/26/2018,0.78,1.0,1.0,0.0,"Please be respectful in our home. Feel free to use the kitchen, cups, plates, appliances, or make some tea or coffee. Please wash dishes when you're done using them, or load them into the dishwasher (no need to run the dishwasher if it isn't full). Quiet hours in our building are from 10pm-8am. No smoking in the building. Cats are allowed! If you are planning on staying Sunday night into Monday morning, please note that checkout must be at 8am (or earlier).",
4644859,Beautiful Bedroom / Winter Getaway,18183217559,unconfirmed,Hannah,Brooklyn,Bushwick,40.70016,-73.91572,United States,US,True,moderate,Private room,2017.0,$782 ,$156 ,12.0,0.0,,,4.0,1.0,387.0,#NAME?,
9098606,Nice apartment 4 Springbreak in NY,17935799977,verified,Hector,Manhattan,Morningside Heights,40.81045,-73.95961,United States,US,False,strict,Private room,2011.0,$391 ,$78 ,3.0,1.0,3/23/2016,0.02,4.0,1.0,80.0,"Smoking isn't allowed in the apartment, though you can do it on our back deck. Because this is our primary residence, we would love it if you would treat it as your own!",
55249899,"Spacious, Private LIC Studio 2 Blocks to Train!",87350390514,unconfirmed,Cassidy,Queens,Sunnyside,40.74375,-73.91563,United States,US,False,strict,Entire home/apt,2014.0,$671 ,$134 ,2.0,0.0,,,2.0,2.0,0.0,#NAME?,
33371087,Lovely 1 -1/2 bedroom apartment in Brooklyn,23898262552,verified,Katy,Brooklyn,Bedford-Stuyvesant,40.68915,-73.9441,United States,US,False,flexible,Entire home/apt,2016.0,$517 ,$103 ,6.0,3.0,1/3/2022,0.71,2.0,2.0,365.0,,
46755525,Luxury New 2 bed Apartment By Central Park North,10861951013,unconfirmed,Lilian,Manhattan,East Harlem,40.79674,-73.94674,United States,US,True,moderate,Entire home/apt,2013.0,$683 ,$137 ,6.0,15.0,5/14/2019,0.68,3.0,1.0,156.0,"Please remember that this is a residential building.  The building rules, hotel occupancy restrictions, and year-round tenants have to be respected.",
57163066,Plant-filled 1 BD by Prospect Park,33561954239,verified,Jazmine,Brooklyn,Flatbush,40.65258,-73.9624,United States,US,False,moderate,Entire home/apt,2014.0,"$1,100 ",$220 ,1.0,0.0,,,2.0,1.0,0.0,"This is a pretty quiet house in a residential neighborhood, so please be respectful of noise. No overnight guests without prior arrangements being made.",
16317720,Amazing Studio at the Time Square Area/52D,91308145959,unconfirmed,Irina,Manhattan,Hell's Kitchen,40.76173,-73.99325,United States,US,False,flexible,Entire home/apt,2006.0,$612 ,$122 ,30.0,4.0,5/18/2019,0.43,5.0,20.0,268.0,,
39651290,ONE BED/ LUXURY @ COLUMBUS CIRCLE!,49093949790,unconfirmed,Karen,Manhattan,Hell's Kitchen,40.76704,-73.98345,United States,US,False,strict,Entire home/apt,2017.0,$170 ,$34 ,45.0,16.0,11/20/2017,0.21,3.0,8.0,0.0,,
23618573,Luxury Highrise with Golf Simulator/Sauana Mry Hil,62532400143,verified,Sam,Manhattan,Murray Hill,40.74661,-73.97195,United States,US,False,moderate,Private room,2015.0,$891 ,$178 ,7.0,5.0,5/15/2019,1.06,5.0,1.0,8.0,"We like to keep things quiet and peaceful and expect that our guests will be respectful of our space and belongings. No smoking, no illegal substances.",
10800795,Private Bedroom A in Heart of LES,98570821466,unconfirmed,Cody,Manhattan,Lower East Side,40.72102,-73.98891,United States,US,True,strict,Private room,2015.0,$304 ,$61 ,2.0,16.0,6/10/2019,0.45,5.0,2.0,0.0,"I respectfull ask that you treat my home as you would a friend's home.  My house rules are just common sense and courtesy. 1.  No loud music. 2. No parties. 3. No removal of items from the apartment unless expressly allowed by the host. 5.  Apartment door must be kept locked at all times.  4.  Security deposit shall be claimed in full in the event of any of the following:   a. Damaged or soiled sheets, to the extent that they require replacement.    b. Theft of items kept on and about the premises.    c. Unreturned keys.    d. Damage to the apartment or any part or item within and without the premises.    e. The presence of pets in the apartment, due to intent or negligence on the part of the guest and their party.    d. The presence of illicit or illegal substances, or illicit or illegal activities, on or about the premises     f.  Failure to vacate the premises by the agreed check-out time",
8692666,Bright Studio Loft Prime Location,23617239789,unconfirmed,Bridget,Manhattan,West Village,40.73557,-74.006,United States,US,False,moderate,Entire home/apt,2021.0,$674 ,$135 ,1.0,0.0,,,4.0,1.0,308.0,#NAME?,
6039417,Room for rent shared bathroom,6634910359,verified,Eudelia,Brooklyn,Bedford-Stuyvesant,40.68682,-73.92019,United States,US,False,flexible,Private room,2009.0,$557 ,$111 ,1.0,0.0,,,5.0,1.0,111.0,No Smoking.  No pets except by special arrangement.   Please keep reasonably quiet when in the apartment/building--this is a quiet and densely populated neighborhood. Please DO NOT leave trash on the street.  Separate recycling. Contact me if trash needs to be removed during your stay. The maple & cherry furniture is made in Boston.  Please be nice to it (wipe & dry with sponge any food..don't drip hot wax..).  Also say what you like about it in your review (-:  if you like it follow @treeturn on instagram!,
50991666,"Private room in Bushwick, Brooklyn",35326679430,verified,Monica,Brooklyn,Bedford-Stuyvesant,40.68881,-73.92139,United States,US,True,moderate,Private room,2014.0,$380 ,$76 ,1.0,0.0,,,4.0,2.0,0.0,,
20013711,Super nice space,47242663118,unconfirmed,Robert,Brooklyn,Sunset Park,40.64431,-74.01261,United States,US,True,moderate,Private room,2009.0,"$1,195 ",$239 ,1.0,7.0,7/1/2019,0.75,2.0,4.0,32.0,,
32386888,"LaGuardia airport,  JFK airport, citi fields,",67437043063,unconfirmed,Jing,Queens,Flushing,40.73096,-73.80357,United States,US,False,moderate,Entire home/apt,2015.0,$377 ,$75 ,3.0,72.0,1/20/2022,1.86,2.0,1.0,22.0,,
6968385,~Lavish 1 Bedroom Upper East Side NYC Apt!,63681225107,unconfirmed,Kara,Manhattan,Upper East Side,40.76483,-73.95801,United States,US,True,strict,Entire home/apt,2022.0,$549 ,$110 ,30.0,1.0,6/29/2017,0.04,4.0,121.0,238.0,,
40180946,Garden Rowhouse Duplex-2 bd/3 bth,18586051485,unconfirmed,Omar,Manhattan,East Harlem,40.80108,-73.94346,United States,US,True,strict,Entire home/apt,2012.0,$418 ,$84 ,4.0,60.0,6/19/2019,0.85,1.0,1.0,332.0,,
53344464,"""Home sweet Home :) """,33781410611,verified,Shany,Queens,Astoria,40.7645,-73.9238,United States,US,False,moderate,Entire home/apt,2013.0,$526 ,$105 ,30.0,5.0,3/9/2019,0.37,5.0,1.0,5.0,,
31770521,Private room +PRIVATE BATHROOM +new furniture,17184595233,verified,Lana,Queens,Kew Gardens,40.709103,-73.83313,United States,US,True,flexible,Private room,2006.0,$628 ,$126 ,7.0,3.0,2/2/2022,1.17,3.0,14.0,351.0,,
14162645,Cozy BedStuy/Bushwick Brownstone Apartment,83825058664,verified,Sadé,Brooklyn,Bedford-Stuyvesant,40.68524,-73.92183,United States,US,True,flexible,Private room,2012.0,$426 ,$85 ,2.0,0.0,,,5.0,1.0,0.0,Check-in is after 3 PM Check-out is before 11 AM,
35335618,Stunning Upscale Highrise with Beautiful River & City Views,41113071477,verified,Alex,Manhattan,Upper West Side,40.77084,-73.9904,United States,US,False,moderate,Entire home/apt,2017.0,$801 ,$160 ,1.0,1.0,11/27/2021,0.3,2.0,1.0,42.0,,
35258848,Staycation in the heart of Williamsburg,7556173184,verified,Conor,Brooklyn,Williamsburg,40.71645,-73.96088,United States,US,False,strict,Entire home/apt,2004.0,$496 ,$99 ,3.0,17.0,11/29/2021,0.58,3.0,1.0,26.0,,
53569802,"Bright, Modern Greenpoint Apartment",70285401094,unconfirmed,Blake Layton,Brooklyn,Greenpoint,40.73507,-73.95229,United States,US,True,strict,Entire home/apt,2015.0,$106 ,$21 ,7.0,0.0,,,4.0,1.0,31.0,,
16240950,Lovely Private Room with Balcony in New York,73332436801,unconfirmed,Yamile,Manhattan,Upper West Side,40.77268,-73.98933,United States,US,True,flexible,Private room,2012.0,$184 ,$37 ,3.0,69.0,6/25/2019,3.47,3.0,3.0,70.0,Welcome to my home. I hope you will treat it as you would your own.,
